tweet,sentiment
"alicante ,c a la sombra. que bien voy a estar los primeros dias de clase. ",2
no se porque pongo ahora la carita triste pero me parece mas cuqui todo con ella ,1
quiero abrazar a todos los gatitos bebes del mundo ,1
en version extendida.  horas. y no vamos ni por la segunda ,0
"esta semana estoy de vacaciones, maana o pasado os publico un video y el domingo directo como siempre ",-1
"uff, que rabia da que pongan los conciertos entre semana. existe clase, vale? ",2
"ahora tengo depresion nocturna, donde esta el chocolate negro cuando se necesita? ",2
la gente de mi nuevo piso es bien buen pedo ,1
espero que no soeis conmigo vaya palo no ,2
"quisiera tener suficiente dinero para ayudara la gente y aun asi poder ir a algun open, cualquiera ",2
"de esto que sueas que estas comiendo poutine, te despiertas, ves que no hay poutine y quieres llorar  pocas cosas echo mas de menos",2
malos dias  me vuelvo de bcn y paul acaba de irse a trabajar ,2
es que hannon en este capitulo me da peni por que es super cute socorro.  bett es tonta. ,2
 no entiendo la mitad de tus tweets porque no los pones en castellano  twlaugh no te conozco pero pareces buena gente,0
teniamos otro genial pero mi movil decide que el video se suba mal para que no se oiga bien y ,2
puede alguien acostumbrarse en  noches a algo? porque me acostumbre a no dormir sola y ahora se extraa demasiado ,2
podemos asignar como basurero municipal la casa del alcalde ,2
nota menta las felicitaciones automatizadas en linkedin cantan mucho cuando te llegan todas a la vez  ,2
primer paciente postvacaciones y falla  hoy va a ser un dia poco productivo,2
"uno muere con esos labios y esa mirada que tienes estando tan cerca eh  umm y dandote besos me dice, pero a ver ",1
casi siempre me hacen fotos sola y quiero fotos cuquis con gente ,2
algun dia entendere porque siempre me habla gente demasiado rara ,2
"iba a decir otra cosa peero si digo lo que siento, me detienen ",2
casi me entrevistan para la sexta. digo casi porque me daba verguenza  asi que como mucho aparecere por detras.,0
"era logico quel dj del reggaeton de mae west no pusiera la cancion de la tentacion, tanto la del lobo como la del kokodrilo. desepsion ",2
 bulbasaur he conseguido y ninguno con buenas estadisticas.. ,2
shay mitchell es tan guapa que me entran ganas de llorar cada vez que la veo ,2
"yo no me la juego con las mierdas de la suerte, ya tengo muy mala suerte como pa jugarmela ",2
lo peor de estar malo y tirarse toodo el dia durmiendo es que ahora por la noche no me duerme ni el tato..  ,2
me pongo al dia con re:zero en dos dias y medio y ahora me dejan una semana intrigado por el final del capitulo. esto no se hace eh ,2
 no se por que me mandas esto si ya sabes todo jaa pero bueno que te echo de menos y  ojala veas pronto a alv y a los chicos,2
no me deis confianza que luego os digo las cosas muy claras y os jode ,2
me cago en dios ya no soy teen el cumpleaos mas triste de mi vida ,2
la verdad esque por yt he hecho cosas malas y me arrepiento y pido perdon pero pff ,2
es que por las noches en mi cuarto y mi sobremesa me angustio sabeis  me vengo al sofa con el portatil y el ventilador y eso,2
ayer hice un pedido a asos y hoy ya hay cosas nuevas que quiero ,0
ojala no me diese miedo aprender a usar a aurelion y tener malas partidas con el pero me pongo tan sad cuando lo hago mal que ,2
"oye yo me voy a dormir, sois todos super bonitos, me ha encantado conocer gente tan maja hoy, buenas noches ",1
hoy he muerto entrenando y eso que he pinchado en la segunda tanda de carrera continua ,2
y he de aclarar que el anterior comentario es la vice directora de mi instituto ,-1
dormir  horitas es lo ideal antes de irse de viaje ,2
mi hermana se ha adueado del portatil y no puedo terminar la serie ni hacer nada ,2
"nuestra familia ahgase de whatsapp ha superado los  miembros, eso dice mucho de lo unido que esta el fandom ",1
"no me pregunteis por que cojo asi los moviles para hacerme selfies, no lo se ni yo pero es hiper comodo ",1
"el colmo de tener que madrugar y tardar en quedarte dormido, o perderte en los mundos de la lectura ",2
me he quedado toda rayada cuando no veia con las gafas. tenia puestas las lentillas ,-1
"estoy llorando cn el trailer de cuestion de tiempo y vane m va a poner la pelicula, bonita noche m espera ",1
que hago yo una hora y media sola en el tren  la que estoy liando pa irme solo dos dias iyo,2
"me ha faltado este verano un libro estilo perdida/chica del tren, aunque estoy mas que satisfecha con las alternativas leidas ",1
es triste que este mas emocionada por el remake del ff que por los juegos nuevos ,2
no puedo apoyar la planta del pie casi y tengo que irme a trabajar todo el dia enterito ,2
y yo!! pero no soy famoso  lugar muy recomendable y las de colon tambien!! twurl,1
"todos nos sentimos orgullosos de tener una new ds para poder jugar estas mierdas, no para poder tener una capturadora gratis, verdad? ",1
la verdad es que tuve suerte de que me enviasen  mega beedrill en vez de uno  ese vendedor es super majo,1
alguien que me de algun plan guay pa el lunes? ,-1
"- como sabes que eres bisexual si nunca has estado con una chica? mimimi + porque ayer me lo pase de lo lindo, pensando en tu hermana ",-1
"pues nada, la proxima vez que tenga que dar mi opinion sobre algo me lo metere por el puto culo ",2
"a mi ya no me gustan mucho los youtubers, antes me encantaban, pero ahora son como mas aburridos. merezco unas vacaciones sin ellos. ",2
"tengo que ir al game a por los comics de panini de este mes (doc.strange, masacre y pantera negra)  y no tengo ganas de ir ",2
yo quiero hacer el cyr de pelis peero no lo encuentro ,2
tengo mucha ilusion puesta en la novela que estoy escribiendo.. espero que os guste. es algo diferente porque me apetece cambiar un poco ,1
"cuando ves a alguien que te lo ha hecho pasar tan mal, pero no sientes nada. eso es lo mejor que te puede pasar ",1
cuando tus colegas se ponen a alabar a los musicos de estopa y pasan de ti que eres la estopera. tener amigos pa esto ,2
pero si suenan a desmadre total me pongo muy nervioso porque no se que puede llegar a pasar ,2
hoy me he tenido que lavar el pelo en un cubo de agua porque no se que le ha pasado a la caldera pero no salia agua caliente ,-1
buenas! hoy a las h dije ayer que habia directo pero se pasa a las h por el directo de la lce en el que estare  subire un recordatorio,-1
"tengo un dilema, quiero cortarme mucho el pelo, pero tambien quiero dejarmelo largo, ayuda ",0
enamorada de second to last love.. vere probablemente la japonesa luego. ,1
en cuanto se vaya fabi no pienso salir de mi casa en por lo menos tres dias ,0
"tarzan en disney channel, por si quereis escapar de la morralla tipica de un sabado por la tarde ",0
ayer fue un dia trambolico pero no me puse ciega y lloro  me puse ciega pero to poco tiempo,2
he encontrado mi nuevo main  twurl  la perdida es porque tenia un troll ,2
tio nadie que me siga es del fandom de twenty one pilots? que ha todos les gustan pero no son del fandom y ,2
me sienta mal ser borde con yoosung porque le veo super vulnerable jajsjs  pero es que no quiero que me toque su ruta again,2
echo tantisimo de menos mi vida en irlanda ,2
este ao ha sido el que mejor me he llevado con mi hermano sin duda y se va en nada y voy a llorar y no quiero ser hija unica y ,2
"por que la gente dice que un pais, por ejemplo, mexico es violento? digo yo, en que pais no hay violencia? fijense en francia. ",2
glowen sigue a cuentas inactivas y es en plan oh seguro que esas cuentas te dan mucho mas apoyo que a las que le diste unf twlaugh ,2
me he quemado la cara y se me pela y el maquillaje queda fatal ,2
bieen !! video terminado  lo tendreis el lunes a las :h twurl,1
el ultimo capi de steven es relleno coazo ,2
yo se que estot todo el dia diciendolo peero vamos a merendar a algun sitio cuki ,0
antes aun follaba para completar el circulo de cosas basicas en la vida pero ahora tengo a ander a tomar por culo de lejos ,2
bueno. voy a echarme una siesta por si esta noche toca ser malo ,1
queria salir a grabar una cosa al amanecer pero mis amigos me han dejado to tirado y no quieren ,2
buenos dias a todespero que tengais un buen sabado ,1
hay teneis resumido lo que me importan vuestras mierdas besis ,2
+yostin kiero un collar!!  -tenemos este valorado en .  yostin:no mejor ponga ese que tiene  quilates mas  twurl,-1
joder. acabo de llevar un piano en brazos  metros y ya estoy cansao. lo que tiene no ser de bilbao centro. ,2
hay gente tan buena y que de verdad vale la pena ,1
"bueno, me voy a poner en serio con orphan black. ",1
odio cuando una empresa te obliga a contactar con ellos por medio de un  sin que te ofrezca un servicio real que necesites ,2
oye recovery road es una serie que me marco mucho asi que ya que la cancelaron podriais regalarme el libro ,1
 m caes mu bn y soy borde porque lo unico que m dices son cosas de que soy mu baja ,2
y hasta aqui las reflexiones nocturnas de un lector normalmente taciturno pero que en ocasiones desea compartir sus pensamientos ,0
necesito hacerme una sesion de fotos de estas en plan bonitas ,0
"me muero un dia borre canciones de fairy tail , me arrepiento muchisimo ",2
ahora con la bufanda me recuerda a boku dake ga inai machi todavia lloro y todo ,2
pues ultima noche en puente genil hasta dentro de un tiempo! maana a comenzar una nueva etapa!! ,0
mas le vale venirse porque hacerme ilusiones esta feisimo ,2
"os creeis que es broma que mi foto soy yo desnuda pero es verdad, en serio. sin luz y sin flash, pero es cierto. ",2
trabajar con un buen ambiente y gente que mola es otro nivel ,1
"cuando le dispararon en el brazo y le preguntaron por que sonreia y dijo 'esto es el fin, ya no me puede pasar nada mas' joder tio ",2
"he hecho una seccion de asimilidados, es donde pondre cosas que creo/se como son y mi manera de pensar tan bonita como vosotros corazones ",1
amnesia   terminas de verlo y no tienes npi de que has visto  los protas son re lindos  esta bien la verdad  twurl,1
acabo de discutir con mi padre porque no me deja tener un portatil al lado de mi pc ,2
" creo que piensas que estoy enfadado contigo y no, fue una cosa mal interpretada. ha sido el mejor ao en clase y te voy a echar de menos ",0
si consigo otra s para la proxima partida con malphite seran en  partidas maestria  esta vez fue ranked y ganamos tambien.,1
si todo va bien maana habra nuevo video en mi canal  twurl,1
"soy jodidamente feliz  me encanta mi vida enserio, a veces no aprecio la suerte que tengo.",1
"no me ha gustado nada el primero de fantastic, no se si esperar a que salga ji soo, o pasar directamente de ella. ",2
 me pareces un nio muy gracioso twlaugh y me encanta hablar contigo a ver si hablamos mas ,1
ultimamente estoy muy poco productivo.. la mente creativa no funciona siempre al % por desgracia ,2
"quieras o no, vivir rodeada de mar, te influye.  paso un par de semanas sin ir a la playa y ya me hace falta. ",2
